Type,TimeStamp,Latitude,Longitude,HAccuracy,Speed,Course
0,2017-09-22 20:34:27 +0000,37.401266,-121.90271,10,24.950001,359.965942
0,2017-09-22 20:34:33 +0000,37.402537,-121.902726,10,23.059999,357.882935
0,2017-09-22 20:34:38 +0000,37.403341,-121.902716,10,16.639999,357.36795
0,2017-09-22 20:34:44 +0000,37.40395,-121.902738,10,7.68,358.820526
0,2017-09-22 20:34:49 +0000,37.404054,-121.902661,10,0.84,33.387165
0,2017-09-22 20:35:15 +0000,37.404163,-121.902065,10,13.93,95.585526
0,2017-09-22 20:35:18 +0000,37.404121,-121.901527,10,18.110001,95.506546
0,2017-09-22 20:35:23 +0000,37.404052,-121.900383,5,21.219999,95.392845
0,2017-09-22 20:35:28 +0000,37.403985,-121.899339,5,16.84,94.895729
0,2017-09-22 20:35:35 +0000,37.403961,-121.898638,5,2.01,82.391975
0,2017-09-22 20:36:46 +0000,37.403999,-121.898344,5,6.57,78.655075
0,2017-09-22 20:36:51 +0000,37.404102,-121.897861,5,10.64,74.489616
0,2017-09-22 20:36:56 +0000,37.404321,-121.89721,5,14.55,58.716671
0,2017-09-22 20:37:01 +0000,37.404743,-121.896505,5,15.91,46.137276
0,2017-09-22 20:37:06 +0000,37.405282,-121.895961,5,15.57,27.835978
0,2017-09-22 20:37:11 +0000,37.405918,-121.895577,5,17.219999,17.650684
0,2017-09-22 20:37:16 +0000,37.406732,-121.895383,5,18.809999,5.735162
0,2017-09-22 20:37:22 +0000,37.407667,-121.895269,5,15.77,6.591423
0,2017-09-22 20:37:27 +0000,37.408361,-121.89518,5,15.4,6.591423
0,2017-09-22 20:37:32 +0000,37.408995,-121.89501,5,11.42,21.082851
0,2017-09-22 20:37:38 +0000,37.409269,-121.894877,5,2.63,27.925129
0,2017-09-22 20:37:48 +0000,37.409367,-121.894817,5,0.75,29.850206
0,2017-09-22 20:38:24 +0000,37.409494,-121.894711,5,6.33,30.875992
0,2017-09-22 20:38:29 +0000,37.409801,-121.894425,5,8.75,37.855232
0,2017-09-22 20:38:35 +0000,37.41015,-121.893969,5,12.14,52.177608
0,2017-09-22 20:38:40 +0000,37.410507,-121.893213,5,15.99,66.259438
0,2017-09-22 20:38:45 +0000,37.410744,-121.89232,5,16.889999,73.958984
0,2017-09-22 20:38:50 +0000,37.410963,-121.891457,5,14.34,72.903069
0,2017-09-22 20:38:55 +0000,37.411176,-121.890743,5,12,69.89505
